program_abbr,catalog_program_id,requirement_id,requirement_type,label,year,semester_index,semester_label,option_min_count,option_index,course_code,numeric_code,course_title,metu_credit,contact_hours,lab_hours,ects,source_url,review_status
CENG,571,REQ-0001,required_course,PHYS 105,1,1,First Semester,1,1,PHYS 105,2300105,GENERAL PHYSICS I,4,3,2,6.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0002,required_course,MATH 119,1,1,First Semester,1,1,MATH 119,2360119,CALCULUS WITH ANALYTIC GEOMETRY,5,4,2,7.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0003,required_course,BIOL 109,1,1,First Semester,1,1,BIOL 109,2380109,INTRODUCTION TO MOLECULAR BIOLOGY,3,3,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0004,required_course,CENG 100,1,1,First Semester,1,1,CENG 100,5710100,COMPUTER ENGINEERING ORIENTATION,0,2,0,1.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0005,required_course,CENG 111,1,1,First Semester,1,1,CENG 111,5710111,INTRODUCTION TO COMPUTER ENG. CONCEPTS,4,3,2,4.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0006,required_course,ENG 101,1,1,First Semester,1,1,ENG 101,6390101,ENGLISH FOR ACADEMIC PURPOSES I,4,4,1,6.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0007,required_course,OHS 101,1,1,First Semester,1,1,OHS 101,8770101,OCCUPATIONAL HEALTH AND SAFETY-I,0,0,0,2.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0008,required_course,IS 100,1,1,First Semester,1,1,IS 100,9010100,INTRODUCTION TO INFORMATION TECHNOLOGIES AND APPLICATIONS,0,0,2,1.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0009,required_course,PHYS 106,1,2,Second Semester,1,1,PHYS 106,2300106,GENERAL PHYSICS II,4,3,2,6.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0010,required_course,MATH 120,1,2,Second Semester,1,1,MATH 120,2360120,CALCULUS OF FUNCTIONS OF SEVERAL VARIABLES,5,4,2,7.5,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0011,required_course,MATH 260,1,2,Second Semester,1,1,MATH 260,2360260,BASIC LINEAR ALGEBRA,3,3,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0012,required_course,BA 100,1,2,Second Semester,1,1,BA 100,3120100,CAREER PLANNING,0,1,0,2.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0013,required_course,CENG 140,1,2,Second Semester,1,1,CENG 140,5710140,C PROGRAMMING,4,3,2,4.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0014,required_course,ENG 102,1,2,Second Semester,1,1,ENG 102,6390102,ENGLISH FOR ACADEMIC PURPOSES II,4,4,1,6.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0015,required_course,MATH 219,2,3,Third Semester,1,1,MATH 219,2360219,INTRODUCTION TO DIFFERENTIAL EQUATIONS,4,4,0,7.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0016,required_course,EE 281,2,3,Third Semester,1,1,EE 281,5670281,ELECTRICAL CIRCUITS,4,3,2,6.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0017,required_course,CENG 213,2,3,Third Semester,1,1,CENG 213,5710213,DATA STRUCTURES,4,3,2,7.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0018,required_course,CENG 223,2,3,Third Semester,1,1,CENG 223,5710223,DISCRETE COMPUTATIONAL STRUCTURES,3,3,0,6.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0019,required_course,ENG 211,2,3,Third Semester,1,1,ENG 211,6390211,ACADEMIC SPEAKING SKILLS,3,3,1,4.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0020,course_choice,Any 1 of the following set ..,2,3,Third Semester,1,1,HIST 2201,2402201,,0,2,0,2.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0020,course_choice,Any 1 of the following set ..,2,3,Third Semester,1,2,HIST 2205,2402205,HISTORY OF THE TURKISH REVOLUTION I,0,2,0,2.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0021,required_course,CENG 222,2,4,Fourth Semester,1,1,CENG 222,5710222,STATISTICAL METHODS FOR COMPUTER ENGINEERING,3,3,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0022,required_course,CENG 232,2,4,Fourth Semester,1,1,CENG 232,5710232,LOGIC DESIGN,4,3,2,7.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0023,required_course,CENG 242,2,4,Fourth Semester,1,1,CENG 242,5710242,PROGRAMMING LANGUAGE CONCEPTS,4,3,2,7.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
